DateKey,FullDate,Year,Quarter,Month,MonthName,Day,DayOfWeek,IsWeekend,FiscalYear,FiscalQuarter,WeekOfYear
72,2020-03-12,2020,Q1,3,March,12,Thursday,False,2020,Q1,11
73,2020-03-13,2020,Q1,3,March,13,Friday,False,2020,Q1,11
74,2020-03-14,2020,Q1,3,March,14,Saturday,True,2020,Q1,11
75,2020-03-15,2020,Q1,3,March,15,Sunday,True,2020,Q1,11
76,2020-03-16,2020,Q1,3,March,16,Monday,False,2020,Q1,12
77,2020-03-17,2020,Q1,3,March,17,Tuesday,False,2020,Q1,12
78,2020-03-18,2020,Q1,3,March,18,Wednesday,False,2020,Q1,12
79,2020-03-19,2020,Q1,3,March,19,Thursday,False,2020,Q1,12
80,2020-03-20,2020,Q1,3,March,20,Friday,False,2020,Q1,12
81,2020-03-21,2020,Q1,3,March,21,Saturday,True,2020,Q1,12
82,2020-03-22,2020,Q1,3,March,22,Sunday,True,2020,Q1,12
83,2020-03-23,2020,Q1,3,March,23,Monday,False,2020,Q1,13
84,2020-03-24,2020,Q1,3,March,24,Tuesday,False,2020,Q1,13
85,2020-03-25,2020,Q1,3,March,25,Wednesday,False,2020,Q1,13
86,2020-03-26,2020,Q1,3,March,26,Thursday,False,2020,Q1,13
87,2020-03-27,2020,Q1,3,March,27,Friday,False,2020,Q1,13
88,2020-03-28,2020,Q1,3,March,28,Saturday,True,2020,Q1,13
89,2020-03-29,2020,Q1,3,March,29,Sunday,True,2020,Q1,13
90,2020-03-30,2020,Q1,3,March,30,Monday,False,2020,Q1,14
91,2020-03-31,2020,Q1,3,March,31,Tuesday,False,2020,Q1,14
92,2020-04-01,2020,Q2,4,April,1,Wednesday,False,2020,Q2,14
93,2020-04-02,2020,Q2,4,April,2,Thursday,False,2020,Q2,14
94,2020-04-03,2020,Q2,4,April,3,Friday,False,2020,Q2,14
95,2020-04-04,2020,Q2,4,April,4,Saturday,True,2020,Q2,14
96,2020-04-05,2020,Q2,4,April,5,Sunday,True,2020,Q2,14
97,2020-04-06,2020,Q2,4,April,6,Monday,False,2020,Q2,15
98,2020-04-07,2020,Q2,4,April,7,Tuesday,False,2020,Q2,15
99,2020-04-08,2020,Q2,4,April,8,Wednesday,False,2020,Q2,15
100,2020-04-09,2020,Q2,4,April,9,Thursday,False,2020,Q2,15
101,2020-04-10,2020,Q2,4,April,10,Friday,False,2020,Q2,15
102,2020-04-11,2020,Q2,4,April,11,Saturday,True,2020,Q2,15
103,2020-04-12,2020,Q2,4,April,12,Sunday,True,2020,Q2,15
104,2020-04-13,2020,Q2,4,April,13,Monday,False,2020,Q2,16
